ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTOR;PRODUTO;PRODUÇÃO
2005;ABR;REGIÃO SUL;RIO GRANDE DO SUL;GRANOL (CACHOEIRA DO SUL);BIODIESEL;0
2005;MAI;REGIÃO SUL;RIO GRANDE DO SUL;GRANOL (CACHOEIRA DO SUL);BIODIESEL;0
2005;FEV;REGIÃO SUL;RIO GRANDE DO SUL;GRANOL (CACHOEIRA DO SUL);BIODIESEL;0
2005;MAR;REGIÃO SUL;RIO GRANDE DO SUL;GRANOL (CACHOEIRA DO SUL);BIODIESEL;0
2005;JUN;REGIÃO SUL;RIO GRANDE DO SUL;GRANOL (CACHOEIRA DO SUL);BIODIESEL;0
2005;SET;REGIÃO SUL;RIO GRANDE DO SUL;GRANOL (CACHOEIRA DO SUL);BIODIESEL;0
2005;OUT;REGIÃO SUL;RIO GRANDE DO SUL;GRANOL (CACHOEIRA DO SUL);BIODIESEL;0
2005;JUL;REGIÃO SUL;RIO GRANDE DO SUL;GRANOL (CACHOEIRA DO SUL);BIODIESEL;0
2005;AGO;REGIÃO SUL;RIO GRANDE DO SUL;GRANOL (CACHOEIRA DO SUL);BIODIESEL;0
2005;JUL;REGIÃO SUDESTE;RIO DE JANEIRO;GRAN-VALLE;BIODIESEL;0
2005;AGO;REGIÃO SUDESTE;RIO DE JANEIRO;GRAN-VALLE;BIODIESEL;0
2005;MAI;REGIÃO SUDESTE;RIO DE JANEIRO;GRAN-VALLE;BIODIESEL;0
2005;JUN;REGIÃO SUDESTE;RIO DE JANEIRO;GRAN-VALLE;BIODIESEL;0
2005;SET;REGIÃO SUDESTE;RIO DE JANEIRO;GRAN-VALLE;BIODIESEL;0
2005;DEZ;REGIÃO SUDESTE;RIO DE JANEIRO;GRAN-VALLE;BIODIESEL;0
2005;JAN;REGIÃO SUL;RIO GRANDE DO SUL;GRANOL (CACHOEIRA DO SUL);BIODIESEL;0
2005;OUT;REGIÃO SUDESTE;RIO DE JANEIRO;GRAN-VALLE;BIODIESEL;0
2005;NOV;REGIÃO SUDESTE;RIO DE JANEIRO;GRAN-VALLE;BIODIESEL;0
2005;OUT;REGIÃO SUDESTE;SÃO PAULO;GRANOL (CAMPINAS);BIODIESEL;0
2005;NOV;REGIÃO SUDESTE;SÃO PAULO;GRANOL (CAMPINAS);BIODIESEL;0
2005;AGO;REGIÃO SUDESTE;SÃO PAULO;GRANOL (CAMPINAS);BIODIESEL;0
2005;SET;REGIÃO SUDESTE;SÃO PAULO;GRANOL (CAMPINAS);BIODIESEL;0
2005;DEZ;REGIÃO SUDESTE;SÃO PAULO;GRANOL (CAMPINAS);BIODIESEL;0
2005;MAR;REGIÃO CENTRO-OESTE;GOIÁS;GRANOL (ANÁPOLIS);BIODIESEL;0
2005;ABR;REGIÃO CENTRO-OESTE;GOIÁS;GRANOL (ANÁPOLIS);BIODIESEL;0
2005;JAN;REGIÃO CENTRO-OESTE;GOIÁS;GRANOL (ANÁPOLIS);BIODIESEL;0
2005;FEV;REGIÃO CENTRO-OESTE;GOIÁS;GRANOL (ANÁPOLIS);BIODIESEL;0
2005;JAN;REGIÃO SUDESTE;SÃO PAULO;GRANOL (CAMPINAS);BIODIESEL;0
2005;FEV;REGIÃO SUDESTE;SÃO PAULO;GRANOL (CAMPINAS);BIODIESEL;0
2005;NOV;REGIÃO SUL;RIO GRANDE DO SUL;GRANOL (CACHOEIRA DO SUL);BIODIESEL;0
2005;DEZ;REGIÃO SUL;RIO GRANDE DO SUL;GRANOL (CACHOEIRA DO SUL);BIODIESEL;0
2005;MAR;REGIÃO SUDESTE;SÃO PAULO;GRANOL (CAMPINAS);BIODIESEL;0
2005;JUN;REGIÃO SUDESTE;SÃO PAULO;GRANOL (CAMPINAS);BIODIESEL;0
2005;JUL;REGIÃO SUDESTE;SÃO PAULO;GRANOL (CAMPINAS);BIODIESEL;0
2005;ABR;REGIÃO SUDESTE;SÃO PAULO;GRANOL (CAMPINAS);BIODIESEL;0
2005;MAI;REGIÃO SUDESTE;SÃO PAULO;GRANOL (CAMPINAS);BIODIESEL;0
2005;ABR;REGIÃO SUDESTE;RIO DE JANEIRO;GRAN-VALLE;BIODIESEL;0
2005;MAR;REGIÃO SUDESTE;SÃO PAULO;FRIGOL;BIODIESEL;0
2005;ABR;REGIÃO SUDESTE;SÃO PAULO;FRIGOL;BIODIESEL;0
2005;JAN;REGIÃO SUDESTE;SÃO PAULO;FRIGOL;BIODIESEL;0
