,ANO,MÊS,GRANDE REGIÃO,UNIDADE DA FEDERAÇÃO,PRODUTOR,PRODUTO,PRODUÇÃO
0,2005,ABR,REGIÃO SUL,RIO GRANDE DO SUL,GRANOL (CACHOEIRA DO SUL),BIODIESEL,0
1,2005,ABR,REGIÃO SUL,RIO GRANDE DO SUL,FUGA,BIODIESEL,0
2,2005,ABR,REGIÃO SUL,SANTA CATARINA,SEARA,BIODIESEL,0
3,2005,ABR,REGIÃO SUL,RIO GRANDE DO SUL,TRES TENTOS,BIODIESEL,0
4,2005,ABR,REGIÃO SUL,RIO GRANDE DO SUL,OLFAR,BIODIESEL,0
5,2005,ABR,REGIÃO SUL,RIO GRANDE DO SUL,OLEOPLAN,BIODIESEL,0
6,2005,ABR,REGIÃO SUL,PARANÁ,POTENCIAL,BIODIESEL,0
7,2005,ABR,REGIÃO SUL,RIO GRANDE DO SUL,BIANCHINI,BIODIESEL,0
8,2005,ABR,REGIÃO SUL,PARANÁ,BIOPAR BIOENERGIA,BIODIESEL,0
9,2005,ABR,REGIÃO SUL,PARANÁ,BIOLIX,BIODIESEL,0
10,2005,ABR,REGIÃO SUL,SANTA CATARINA,ADM (JOAÇABA),BIODIESEL,0
11,2005,ABR,REGIÃO SUL,PARANÁ,BIGFRANGO,BIODIESEL,0
12,2005,ABR,REGIÃO SUL,RIO GRANDE DO SUL,CAMERA (IJUI),BIODIESEL,0
13,2005,ABR,REGIÃO SUL,RIO GRANDE DO SUL,BSBIOS,BIODIESEL,0
14,2005,ABR,REGIÃO SUL,PARANÁ,BSBIOS MARIALVA,BIODIESEL,0
15,2005,ABR,REGIÃO SUL,RIO GRANDE DO SUL,CAMERA (ROSARIO DO SUL),BIODIESEL,0
16,2005,ABR,REGIÃO SUL,RIO GRANDE DO SUL,BOCCHI,BIODIESEL,0
17,2005,ABR,REGIÃO SUL,RIO GRANDE DO SUL,BRASIL ECODIESEL (ROSARIO DO SUL),BIODIESEL,0
18,2005,MAI,REGIÃO SUL,RIO GRANDE DO SUL,GRANOL (CACHOEIRA DO SUL),BIODIESEL,0
19,2005,MAI,REGIÃO SUL,RIO GRANDE DO SUL,FUGA,BIODIESEL,0
20,2005,MAI,REGIÃO SUL,SANTA CATARINA,SEARA,BIODIESEL,0
21,2005,MAI,REGIÃO SUL,RIO GRANDE DO SUL,TRES TENTOS,BIODIESEL,0
22,2005,MAI,REGIÃO SUL,RIO GRANDE DO SUL,OLFAR,BIODIESEL,0
23,2005,MAI,REGIÃO SUL,RIO GRANDE DO SUL,OLEOPLAN,BIODIESEL,0
24,2005,MAI,REGIÃO SUL,PARANÁ,POTENCIAL,BIODIESEL,0
25,2005,MAI,REGIÃO SUL,RIO GRANDE DO SUL,BIANCHINI,BIODIESEL,0
26,2005,MAI,REGIÃO SUL,PARANÁ,BIOPAR BIOENERGIA,BIODIESEL,0
27,2005,MAI,REGIÃO SUL,SANTA CATARINA,ADM (JOAÇABA),BIODIESEL,0
28,2005,MAI,REGIÃO SUL,PARANÁ,BIGFRANGO,BIODIESEL,0
29,2005,MAI,REGIÃO SUL,RIO GRANDE DO SUL,CAMERA (IJUI),BIODIESEL,0
30,2005,MAI,REGIÃO SUL,PARANÁ,BSBIOS MARIALVA,BIODIESEL,0
31,2005,MAI,REGIÃO SUL,RIO GRANDE DO SUL,BSBIOS,BIODIESEL,0
32,2005,MAI,REGIÃO SUL,RIO GRANDE DO SUL,CAMERA (ROSARIO DO SUL),BIODIESEL,0
33,2005,MAI,REGIÃO SUL,RIO GRANDE DO SUL,BOCCHI,BIODIESEL,0
34,2005,MAI,REGIÃO SUL,RIO GRANDE DO SUL,BRASIL ECODIESEL (ROSARIO DO SUL),BIODIESEL,0
35,2005,FEV,REGIÃO SUL,RIO GRANDE DO SUL,GRANOL (CACHOEIRA DO SUL),BIODIESEL,0
36,2005,FEV,REGIÃO SUL,RIO GRANDE DO SUL,FUGA,BIODIESEL,0
37,2005,FEV,REGIÃO SUL,SANTA CATARINA,SEARA,BIODIESEL,0
38,2005,FEV,REGIÃO SUL,RIO GRANDE DO SUL,TRES TENTOS,BIODIESEL,0
39,2005,FEV,REGIÃO SUL,RIO GRANDE DO SUL,OLFAR,BIODIESEL,0
40,2005,FEV,REGIÃO SUL,RIO GRANDE DO SUL,OLEOPLAN,BIODIESEL,0
41,2005,FEV,REGIÃO SUL,PARANÁ,POTENCIAL,BIODIESEL,0
42,2005,FEV,REGIÃO SUL,RIO GRANDE DO SUL,BIANCHINI,BIODIESEL,0
43,2005,FEV,REGIÃO SUL,PARANÁ,BIOPAR BIOENERGIA,BIODIESEL,0
44,2005,FEV,REGIÃO SUL,PARANÁ,BIOLIX,BIODIESEL,0
45,2005,FEV,REGIÃO SUL,SANTA CATARINA,ADM (JOAÇABA),BIODIESEL,0
46,2005,FEV,REGIÃO SUL,PARANÁ,BIGFRANGO,BIODIESEL,0
47,2005,FEV,REGIÃO SUL,RIO GRANDE DO SUL,CAMERA (IJUI),BIODIESEL,0
48,2005,FEV,REGIÃO SUL,RIO GRANDE DO SUL,BSBIOS,BIODIESEL,0
49,2005,FEV,REGIÃO SUL,PARANÁ,BSBIOS MARIALVA,BIODIESEL,0
50,2005,FEV,REGIÃO SUL,RIO GRANDE DO SUL,CAMERA (ROSARIO DO SUL),BIODIESEL,0
51,2005,FEV,REGIÃO SUL,RIO GRANDE DO SUL,BOCCHI,BIODIESEL,0
